Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,3888,0.316483516483516,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.001,6407,0.521530321530322,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.002,7932,0.645665445665446,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.003,8918,0.725925925925926,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.004,9604,0.781766381766382,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.005,10154,0.826536426536427,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.006,10525,0.856735856735857,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.007,10848,0.883028083028083,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.008,11100,0.903540903540904,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.009,11308,0.92047212047212,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.01,11455,0.932437932437933,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.011,11584,0.942938542938543,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.012,11691,0.951648351648352,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.013,11781,0.958974358974359,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.014,11861,0.965486365486365,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.015,11912,0.96963776963777,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.016,11978,0.975010175010175,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.017,12017,0.978184778184778,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.018,12049,0.980789580789581,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.019,12077,0.983068783068783,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.02,12099,0.984859584859585,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.021,12125,0.986975986975987,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.022,12143,0.988441188441188,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.023,12161,0.98990638990639,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.024,12172,0.990801790801791,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.025,12184,0.991778591778592,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.026,12189,0.992185592185592,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.027,12202,0.993243793243793,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.028,12206,0.993569393569394,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.029,12210,0.993894993894994,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.03,12218,0.994546194546195,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.031,12221,0.994790394790395,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.032,12226,0.995197395197395,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.033,12234,0.995848595848596,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.034,12237,0.996092796092796,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
