Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,10629,0.865201465201465,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.001,11347,0.923646723646724,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.002,11593,0.943671143671144,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.003,11741,0.955718355718356,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.004,11833,0.963207163207163,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.005,11903,0.968905168905169,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.006,11952,0.972893772893773,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.007,11995,0.976393976393976,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.008,12017,0.978184778184778,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.009,12038,0.97989417989418,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.01,12053,0.981115181115181,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.011,12067,0.982254782254782,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.012,12083,0.983557183557184,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.013,12093,0.984371184371184,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.014,12102,0.985103785103785,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.015,12111,0.985836385836386,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.016,12115,0.986161986161986,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.017,12123,0.986813186813187,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.018,12132,0.987545787545788,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.019,12141,0.988278388278388,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.02,12148,0.988848188848189,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.021,12153,0.989255189255189,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.022,12158,0.98966218966219,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.023,12163,0.99006919006919,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.024,12165,0.99023199023199,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.025,12168,0.990476190476191,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.026,12171,0.990720390720391,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.027,12172,0.990801790801791,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.028,12176,0.991127391127391,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.029,12180,0.991452991452991,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.03,12181,0.991534391534391,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.031,12184,0.991778591778592,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.032,12186,0.991941391941392,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.033,12187,0.992022792022792,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.035,12188,0.992104192104192,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.036,12189,0.992185592185592,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.037,12191,0.992348392348392,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.038,12192,0.992429792429792,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.039,12194,0.992592592592593,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.04,12196,0.992755392755393,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.042,12198,0.992918192918193,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.044,12200,0.993080993080993,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.045,12202,0.993243793243793,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.046,12203,0.993325193325193,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.047,12205,0.993487993487993,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.048,12208,0.993732193732194,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.049,12210,0.993894993894994,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.051,12212,0.994057794057794,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.052,12215,0.994301994301994,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.053,12217,0.994464794464794,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.055,12218,0.994546194546195,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.056,12220,0.994708994708995,BASE_SIMULATION_1,NEW_SNOW_DENSITY
