Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,10707,0.871550671550672,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.001,11718,0.953846153846154,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.002,11989,0.975905575905576,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.003,12102,0.985103785103785,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.004,12156,0.98949938949939,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.005,12195,0.992673992673993,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.006,12218,0.994546194546195,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.007,12233,0.995767195767196,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.008,12245,0.996743996743997,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.009,12256,0.997639397639398,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.01,12265,0.998371998371998,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.011,12267,0.998534798534799,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.012,12270,0.998778998778999,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.013,12276,0.999267399267399,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.014,12279,0.9995115995116,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.019,12280,0.999592999593,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.021,12281,0.9996743996744,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.022,12282,0.9997557997558,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.023,12283,0.9998371998372,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.145,12284,0.9999185999186,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.165,12285,1,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0,11122,0.905331705331705,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.001,11867,0.965974765974766,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.002,12084,0.983638583638584,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.003,12178,0.991290191290191,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.004,12224,0.995034595034595,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.005,12250,0.997150997150997,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.006,12261,0.998046398046398,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.007,12275,0.999185999185999,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.008,12280,0.999592999593,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.009,12281,0.9996743996744,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.01,12282,0.9997557997558,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.011,12283,0.9998371998372,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.013,12284,0.9999185999186,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.045,12285,1,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0,8453,0.688074888074888,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.001,10064,0.819210419210419,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.002,10732,0.873585673585674,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.003,11151,0.907692307692308,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.004,11403,0.928205128205128,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.005,11581,0.942694342694343,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.006,11719,0.953927553927554,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.007,11828,0.962800162800163,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.008,11908,0.969312169312169,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.009,11973,0.974603174603175,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.01,12027,0.978998778998779,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.011,12063,0.981929181929182,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.012,12099,0.984859584859585,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.013,12125,0.986975986975987,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.014,12143,0.988441188441188,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.015,12161,0.98990638990639,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.016,12174,0.990964590964591,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.017,12188,0.992104192104192,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.018,12196,0.992755392755393,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.019,12207,0.993650793650794,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.02,12208,0.993732193732194,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.021,12215,0.994301994301994,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.022,12219,0.994627594627595,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.023,12225,0.995115995115995,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.024,12228,0.995360195360195,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.025,12234,0.995848595848596,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.026,12240,0.996336996336996,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.027,12244,0.996662596662597,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.028,12248,0.996988196988197,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.029,12251,0.997232397232397,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.03,12252,0.997313797313797,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.031,12255,0.997557997557998,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.032,12258,0.997802197802198,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.033,12261,0.998046398046398,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.034,12263,0.998209198209198,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.035,12266,0.998453398453398,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.037,12267,0.998534798534799,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.038,12269,0.998697598697599,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.04,12273,0.999023199023199,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.043,12274,0.999104599104599,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.044,12276,0.999267399267399,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.051,12277,0.999348799348799,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.054,12278,0.999430199430199,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.055,12279,0.9995115995116,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.067,12280,0.999592999593,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.088,12281,0.9996743996744,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.099,12282,0.9997557997558,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.1,12283,0.9998371998372,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.135,12284,0.9999185999186,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0.153,12285,1,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
0,10390,0.845746845746846,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.001,11600,0.944240944240944,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.002,11912,0.96963776963777,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.003,12055,0.981277981277981,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.004,12131,0.987464387464387,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.005,12172,0.990801790801791,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.006,12202,0.993243793243793,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.007,12224,0.995034595034595,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.008,12246,0.996825396825397,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.009,12253,0.997395197395197,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.01,12264,0.998290598290598,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.011,12267,0.998534798534799,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.012,12269,0.998697598697599,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.013,12272,0.998941798941799,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.014,12275,0.999185999185999,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.015,12277,0.999348799348799,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.017,12279,0.9995115995116,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.018,12280,0.999592999593,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.021,12281,0.9996743996744,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.022,12282,0.9997557997558,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
0.024,12283,0.9998371998372,BASE_SIMULATION_4,SNOW_ALB_ACCUM_A
