Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,11795,0.96011396011396,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.001,12088,0.983964183964184,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.002,12181,0.991534391534391,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.003,12208,0.993732193732194,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.004,12231,0.995604395604396,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.005,12243,0.996581196581197,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.006,12252,0.997313797313797,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.007,12257,0.997720797720798,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.008,12259,0.997883597883598,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.009,12265,0.998371998371998,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.01,12268,0.998616198616199,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.011,12270,0.998778998778999,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.013,12273,0.999023199023199,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.014,12274,0.999104599104599,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.015,12276,0.999267399267399,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.017,12277,0.999348799348799,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.027,12278,0.999430199430199,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.03,12279,0.9995115995116,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.035,12280,0.999592999593,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.036,12281,0.9996743996744,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.049,12282,0.9997557997558,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.085,12283,0.9998371998372,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.213,12284,0.9999185999186,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.327,12285,1,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0,11749,0.956369556369556,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.001,12085,0.983719983719984,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.002,12161,0.98990638990639,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.003,12206,0.993569393569394,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.004,12228,0.995360195360195,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.005,12239,0.996255596255596,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.006,12246,0.996825396825397,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.007,12256,0.997639397639398,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.008,12262,0.998127798127798,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.009,12266,0.998453398453398,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.01,12269,0.998697598697599,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.011,12270,0.998778998778999,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.012,12272,0.998941798941799,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.013,12274,0.999104599104599,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.016,12275,0.999185999185999,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.02,12276,0.999267399267399,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
0.021,12277,0.999348799348799,BASE_SIMULATION_2,SNOW_ALB_ACCUM_B
