Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,2786,0.226780626780627,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.001,4874,0.396743996743997,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.002,5984,0.487098087098087,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.003,6734,0.548148148148148,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.004,7260,0.590964590964591,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.005,7735,0.62962962962963,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.006,8079,0.657631257631258,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.007,8369,0.681237281237281,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.008,8631,0.702564102564103,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.009,8859,0.721123321123321,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.01,9038,0.735693935693936,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.011,9222,0.750671550671551,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.012,9364,0.762230362230362,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.013,9486,0.772161172161172,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.014,9624,0.783394383394383,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.015,9724,0.791534391534392,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.016,9820,0.799348799348799,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.017,9903,0.806105006105006,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.018,9998,0.813838013838014,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.019,10074,0.82002442002442,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.02,10162,0.827187627187627,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.021,10242,0.833699633699634,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.022,10311,0.839316239316239,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.023,10368,0.843956043956044,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.024,10432,0.849165649165649,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.025,10488,0.853724053724054,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.026,10542,0.858119658119658,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.027,10593,0.862271062271062,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.028,10630,0.865282865282865,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.029,10668,0.868376068376069,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.03,10708,0.871632071632072,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.031,10746,0.874725274725275,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.032,10782,0.877655677655678,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.033,10816,0.88042328042328,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.034,10842,0.882539682539683,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.035,10867,0.884574684574685,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.036,10902,0.887423687423688,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.037,10933,0.88994708994709,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.038,10958,0.891982091982092,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.039,10983,0.894017094017094,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.04,11006,0.895889295889296,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.041,11033,0.898087098087098,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.042,11055,0.8998778998779,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.043,11078,0.901750101750102,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.044,11097,0.903296703296703,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.045,11112,0.904517704517705,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.046,11135,0.906389906389906,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.047,11150,0.907610907610908,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.048,11166,0.908913308913309,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.049,11184,0.91037851037851,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.05,11192,0.911029711029711,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.051,11215,0.912901912901913,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.052,11231,0.914204314204314,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.053,11254,0.916076516076516,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.054,11266,0.917053317053317,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.055,11282,0.918355718355718,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.056,11299,0.91973951973952,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.057,11314,0.920960520960521,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.058,11331,0.922344322344322,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.059,11344,0.923402523402523,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.06,11360,0.924704924704925,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.061,11378,0.926170126170126,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.062,11389,0.927065527065527,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.063,11399,0.927879527879528,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.064,11409,0.928693528693529,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.065,11417,0.929344729344729,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.066,11421,0.92967032967033,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.067,11432,0.930565730565731,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.068,11439,0.931135531135531,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.069,11449,0.931949531949532,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.07,11452,0.932193732193732,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.071,11457,0.932600732600733,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.072,11461,0.932926332926333,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.073,11470,0.933658933658934,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.074,11479,0.934391534391535,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.075,11484,0.934798534798535,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.076,11491,0.935368335368335,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.077,11500,0.936100936100936,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.078,11505,0.936507936507937,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.079,11507,0.936670736670737,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.08,11513,0.937159137159137,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.081,11517,0.937484737484738,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.082,11522,0.937891737891738,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.083,11527,0.938298738298738,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.084,11534,0.938868538868539,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.085,11541,0.939438339438339,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.086,11546,0.93984533984534,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.087,11552,0.94033374033374,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.088,11555,0.940577940577941,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.089,11560,0.940984940984941,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.09,11567,0.941554741554742,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.091,11571,0.941880341880342,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.092,11579,0.942531542531542,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.093,11584,0.942938542938543,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.094,11591,0.943508343508343,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.095,11597,0.943996743996744,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.096,11600,0.944240944240944,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.097,11602,0.944403744403744,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.098,11605,0.944647944647945,BASE_SIMULATION_1,SNOW_ALB_THAW_A
