Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,12255,0.997557997557998,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.001,12280,0.999592999593,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.002,12282,0.9997557997558,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.032,12283,0.9998371998372,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.058,12284,0.9999185999186,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.117,12285,1,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0,12280,0.999592999593,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.001,12283,0.9998371998372,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.002,12284,0.9999185999186,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.091,12285,1,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0,11720,0.954008954008954,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.001,12079,0.983231583231583,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.002,12178,0.991290191290191,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.003,12221,0.994790394790395,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.004,12241,0.996418396418396,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.005,12251,0.997232397232397,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.006,12257,0.997720797720798,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.007,12263,0.998209198209198,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.008,12267,0.998534798534799,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.009,12268,0.998616198616199,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.01,12270,0.998778998778999,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.011,12271,0.998860398860399,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.014,12272,0.998941798941799,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.015,12273,0.999023199023199,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.016,12274,0.999104599104599,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.017,12275,0.999185999185999,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.018,12276,0.999267399267399,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.019,12277,0.999348799348799,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.023,12278,0.999430199430199,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.026,12279,0.9995115995116,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.027,12280,0.999592999593,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.031,12281,0.9996743996744,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.034,12282,0.9997557997558,BASE_SIMULATION_3,SNOW_ALB_THAW_B
