Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,8386,0.682621082621083,BASE_SIMULATION_1,Z0SNOW
0.001,9819,0.799267399267399,BASE_SIMULATION_1,Z0SNOW
0.002,10338,0.841514041514042,BASE_SIMULATION_1,Z0SNOW
0.003,10655,0.867317867317867,BASE_SIMULATION_1,Z0SNOW
0.004,10888,0.886284086284086,BASE_SIMULATION_1,Z0SNOW
0.005,11066,0.900773300773301,BASE_SIMULATION_1,Z0SNOW
0.006,11197,0.911436711436711,BASE_SIMULATION_1,Z0SNOW
0.007,11304,0.92014652014652,BASE_SIMULATION_1,Z0SNOW
0.008,11378,0.926170126170126,BASE_SIMULATION_1,Z0SNOW
0.009,11444,0.931542531542532,BASE_SIMULATION_1,Z0SNOW
0.01,11495,0.935693935693936,BASE_SIMULATION_1,Z0SNOW
0.011,11542,0.93951973951974,BASE_SIMULATION_1,Z0SNOW
0.012,11601,0.944322344322344,BASE_SIMULATION_1,Z0SNOW
0.013,11649,0.948229548229548,BASE_SIMULATION_1,Z0SNOW
0.014,11692,0.951729751729752,BASE_SIMULATION_1,Z0SNOW
0.015,11729,0.954741554741555,BASE_SIMULATION_1,Z0SNOW
0.016,11754,0.956776556776557,BASE_SIMULATION_1,Z0SNOW
0.017,11772,0.958241758241758,BASE_SIMULATION_1,Z0SNOW
0.018,11799,0.96043956043956,BASE_SIMULATION_1,Z0SNOW
0.019,11823,0.962393162393162,BASE_SIMULATION_1,Z0SNOW
0.02,11846,0.964265364265364,BASE_SIMULATION_1,Z0SNOW
0.021,11871,0.966300366300366,BASE_SIMULATION_1,Z0SNOW
0.022,11895,0.968253968253968,BASE_SIMULATION_1,Z0SNOW
0.023,11909,0.969393569393569,BASE_SIMULATION_1,Z0SNOW
0.024,11927,0.970858770858771,BASE_SIMULATION_1,Z0SNOW
0.025,11952,0.972893772893773,BASE_SIMULATION_1,Z0SNOW
0.026,11966,0.974033374033374,BASE_SIMULATION_1,Z0SNOW
0.027,11978,0.975010175010175,BASE_SIMULATION_1,Z0SNOW
0.028,11989,0.975905575905576,BASE_SIMULATION_1,Z0SNOW
0.029,12002,0.976963776963777,BASE_SIMULATION_1,Z0SNOW
0.03,12016,0.978103378103378,BASE_SIMULATION_1,Z0SNOW
0.031,12031,0.979324379324379,BASE_SIMULATION_1,Z0SNOW
0.032,12040,0.98005698005698,BASE_SIMULATION_1,Z0SNOW
0.033,12053,0.981115181115181,BASE_SIMULATION_1,Z0SNOW
0.034,12060,0.981684981684982,BASE_SIMULATION_1,Z0SNOW
0.035,12064,0.982010582010582,BASE_SIMULATION_1,Z0SNOW
0.036,12078,0.983150183150183,BASE_SIMULATION_1,Z0SNOW
0.037,12083,0.983557183557184,BASE_SIMULATION_1,Z0SNOW
0.038,12090,0.984126984126984,BASE_SIMULATION_1,Z0SNOW
0.039,12098,0.984778184778185,BASE_SIMULATION_1,Z0SNOW
0.04,12101,0.985022385022385,BASE_SIMULATION_1,Z0SNOW
0.041,12109,0.985673585673586,BASE_SIMULATION_1,Z0SNOW
0.042,12112,0.985917785917786,BASE_SIMULATION_1,Z0SNOW
0.043,12118,0.986406186406186,BASE_SIMULATION_1,Z0SNOW
0.044,12124,0.986894586894587,BASE_SIMULATION_1,Z0SNOW
0.045,12131,0.987464387464387,BASE_SIMULATION_1,Z0SNOW
0.046,12136,0.987871387871388,BASE_SIMULATION_1,Z0SNOW
0.047,12140,0.988196988196988,BASE_SIMULATION_1,Z0SNOW
0.048,12144,0.988522588522589,BASE_SIMULATION_1,Z0SNOW
0.049,12145,0.988603988603989,BASE_SIMULATION_1,Z0SNOW
0.05,12149,0.988929588929589,BASE_SIMULATION_1,Z0SNOW
0.051,12153,0.989255189255189,BASE_SIMULATION_1,Z0SNOW
0.052,12155,0.989417989417989,BASE_SIMULATION_1,Z0SNOW
0.053,12162,0.98998778998779,BASE_SIMULATION_1,Z0SNOW
0.054,12164,0.99015059015059,BASE_SIMULATION_1,Z0SNOW
0.055,12166,0.99031339031339,BASE_SIMULATION_1,Z0SNOW
0.056,12173,0.990883190883191,BASE_SIMULATION_1,Z0SNOW
0.058,12174,0.990964590964591,BASE_SIMULATION_1,Z0SNOW
0.059,12176,0.991127391127391,BASE_SIMULATION_1,Z0SNOW
0.06,12180,0.991452991452991,BASE_SIMULATION_1,Z0SNOW
0.061,12186,0.991941391941392,BASE_SIMULATION_1,Z0SNOW
0.062,12187,0.992022792022792,BASE_SIMULATION_1,Z0SNOW
0.063,12189,0.992185592185592,BASE_SIMULATION_1,Z0SNOW
0.064,12190,0.992266992266992,BASE_SIMULATION_1,Z0SNOW
0.065,12192,0.992429792429792,BASE_SIMULATION_1,Z0SNOW
0.066,12194,0.992592592592593,BASE_SIMULATION_1,Z0SNOW
0.067,12195,0.992673992673993,BASE_SIMULATION_1,Z0SNOW
0.068,12197,0.992836792836793,BASE_SIMULATION_1,Z0SNOW
0.069,12200,0.993080993080993,BASE_SIMULATION_1,Z0SNOW
0.07,12203,0.993325193325193,BASE_SIMULATION_1,Z0SNOW
0.071,12207,0.993650793650794,BASE_SIMULATION_1,Z0SNOW
0.072,12213,0.994139194139194,BASE_SIMULATION_1,Z0SNOW
0.073,12218,0.994546194546195,BASE_SIMULATION_1,Z0SNOW
0.074,12220,0.994708994708995,BASE_SIMULATION_1,Z0SNOW
0.075,12222,0.994871794871795,BASE_SIMULATION_1,Z0SNOW
0.076,12223,0.994953194953195,BASE_SIMULATION_1,Z0SNOW
0.077,12224,0.995034595034595,BASE_SIMULATION_1,Z0SNOW
0.078,12226,0.995197395197395,BASE_SIMULATION_1,Z0SNOW
0.079,12228,0.995360195360195,BASE_SIMULATION_1,Z0SNOW
0.08,12229,0.995441595441596,BASE_SIMULATION_1,Z0SNOW
0.081,12232,0.995685795685796,BASE_SIMULATION_1,Z0SNOW
0.082,12235,0.995929995929996,BASE_SIMULATION_1,Z0SNOW
0.084,12236,0.996011396011396,BASE_SIMULATION_1,Z0SNOW
0.087,12239,0.996255596255596,BASE_SIMULATION_1,Z0SNOW
0.09,12242,0.996499796499796,BASE_SIMULATION_1,Z0SNOW
0.093,12244,0.996662596662597,BASE_SIMULATION_1,Z0SNOW
0.095,12245,0.996743996743997,BASE_SIMULATION_1,Z0SNOW
0.096,12246,0.996825396825397,BASE_SIMULATION_1,Z0SNOW
0.098,12247,0.996906796906797,BASE_SIMULATION_1,Z0SNOW
0.099,12248,0.996988196988197,BASE_SIMULATION_1,Z0SNOW
0.101,12249,0.997069597069597,BASE_SIMULATION_1,Z0SNOW
0.102,12251,0.997232397232397,BASE_SIMULATION_1,Z0SNOW
0.103,12252,0.997313797313797,BASE_SIMULATION_1,Z0SNOW
0.104,12256,0.997639397639398,BASE_SIMULATION_1,Z0SNOW
0.105,12257,0.997720797720798,BASE_SIMULATION_1,Z0SNOW
0.107,12258,0.997802197802198,BASE_SIMULATION_1,Z0SNOW
0.109,12259,0.997883597883598,BASE_SIMULATION_1,Z0SNOW
0.11,12260,0.997964997964998,BASE_SIMULATION_1,Z0SNOW
0.114,12261,0.998046398046398,BASE_SIMULATION_1,Z0SNOW
0.115,12262,0.998127798127798,BASE_SIMULATION_1,Z0SNOW
0.116,12263,0.998209198209198,BASE_SIMULATION_1,Z0SNOW
0.117,12264,0.998290598290598,BASE_SIMULATION_1,Z0SNOW
0.118,12265,0.998371998371998,BASE_SIMULATION_1,Z0SNOW
0.122,12266,0.998453398453398,BASE_SIMULATION_1,Z0SNOW
0.123,12267,0.998534798534799,BASE_SIMULATION_1,Z0SNOW
0.132,12268,0.998616198616199,BASE_SIMULATION_1,Z0SNOW
0.134,12270,0.998778998778999,BASE_SIMULATION_1,Z0SNOW
