Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,8818,0.782500665542639,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.001,8819,0.782589404561186,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.002,8820,0.782678143579732,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.003,8828,0.783388055728104,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.004,8829,0.78347679474665,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.007,8830,0.783565533765197,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.008,8835,0.784009228857929,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.009,8837,0.784186706895022,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.01,8886,0.788534918803798,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.011,8958,0.794924128139143,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.015,8960,0.795101606176236,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.019,8961,0.795190345194782,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.022,8962,0.795279084213329,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.023,8963,0.795367823231875,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.025,9009,0.799449818085012,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.026,9010,0.799538557103559,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.029,9012,0.799716035140651,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.03,9013,0.799804774159198,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.037,9018,0.80024846925193,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.04,9019,0.800337208270477,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.041,9026,0.800958381400302,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.044,9031,0.801402076493034,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.048,9032,0.801490815511581,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.067,9033,0.801579554530127,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.079,9034,0.801668293548673,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.081,9035,0.80175703256722,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.084,9037,0.801934510604313,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.086,9039,0.802111988641406,BASE_SIMULATION_1,LAI_ADJUSTMENT
0.087,9041,0.802289466678499,BASE_SIMULATION_1,LAI_ADJUSTMENT
