Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,9724,0.862898216345727,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.001,9804,0.869997337829444,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.002,10420,0.92466057325406,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.003,10425,0.925104268346792,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.004,10430,0.925547963439524,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.005,10459,0.928121394977371,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.006,10473,0.929363741237022,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.008,10482,0.93016239240394,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.009,10489,0.930783565533765,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.01,10491,0.930961043570858,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.011,10494,0.931227260626498,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.012,10503,0.932025911793415,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.013,10507,0.932380867867601,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.014,10514,0.933002040997427,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.015,10522,0.933711953145798,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.016,10541,0.935397994498181,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.017,10560,0.937084035850564,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.018,10603,0.940899813648061,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.019,10656,0.945602981631023,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.02,10802,0.958558878338806,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.021,10895,0.966811607063626,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.023,10896,0.966900346082172,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.025,10898,0.967077824119265,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.026,10902,0.967432780193451,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.028,10903,0.967521519211997,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.029,10907,0.967876475286183,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.03,10908,0.96796521430473,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.033,10913,0.968408909397462,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.034,10917,0.968763865471648,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.036,10918,0.968852604490194,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.037,10920,0.969030082527287,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.038,10922,0.96920756056438,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.039,10928,0.969739994675659,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.04,10929,0.969828733694205,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.041,10932,0.970094950749845,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.042,10933,0.970183689768391,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.044,10938,0.970627384861123,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.045,10951,0.971780992102227,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.046,10952,0.971869731120774,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.05,10958,0.972402165232053,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.053,10969,0.973378294436064,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.055,10971,0.973555772473157,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.058,10972,0.973644511491703,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.059,10973,0.973733250510249,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.06,10974,0.973821989528796,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.061,10979,0.974265684621528,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.062,10981,0.974443162658621,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.063,10983,0.974620640695714,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.064,10996,0.975774247936818,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.066,10997,0.975862986955364,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.07,10999,0.976040464992457,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.071,11002,0.976306682048097,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.072,11004,0.97648416008519,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.074,11005,0.976572899103736,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.077,11024,0.978258940456119,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.078,11026,0.978436418493212,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.079,11027,0.978525157511758,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.086,11028,0.978613896530304,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.091,11034,0.979146330641583,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.092,11036,0.979323808678676,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.094,11037,0.979412547697222,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.095,11040,0.979678764752862,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.096,11064,0.981808501197977,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
0.104,11065,0.981897240216523,BASE_SIMULATION_1,LIQUID_WATER_CAPACITY
