Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,9524,0.845150412636436,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.024,9525,0.845239151654983,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.025,9529,0.845594107729169,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.043,9530,0.845682846747715,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.052,9531,0.845771585766262,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.056,9532,0.845860324784808,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.061,9533,0.845949063803354,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.062,9534,0.846037802821901,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.067,9535,0.846126541840447,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.089,9540,0.84657023693318,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.091,9543,0.846836453988819,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.092,9588,0.850829709823409,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.093,9620,0.853669358416896,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.126,9621,0.853758097435442,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.129,9622,0.853846836453989,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.143,9623,0.853935575472535,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.147,9624,0.854024314491082,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.17,9625,0.854113053509628,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.185,9627,0.854290531546721,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.208,9628,0.854379270565268,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.23,9629,0.854468009583814,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.252,9630,0.85455674860236,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.272,9632,0.854734226639453,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.275,9633,0.854822965658,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.281,9635,0.855000443695093,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.282,9636,0.855089182713639,BASE_SIMULATION_1,MAX_SNOW_TEMP
0.288,9641,0.855532877806371,BASE_SIMULATION_1,MAX_SNOW_TEMP
