Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,10927,0.969651255657112,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.002,10930,0.969917472712752,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.416,10931,0.970006211731298,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.495,10932,0.970094950749845,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.509,10933,0.970183689768391,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.672,10934,0.970272428786938,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.686,10935,0.970361167805484,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.688,10937,0.970538645842577,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.703,10939,0.97071612387967,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.704,10942,0.970982340935309,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.708,10943,0.971071079953856,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.709,10946,0.971337297009495,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.805,10947,0.971426036028042,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.806,10948,0.971514775046588,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.87,10949,0.971603514065134,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.872,10951,0.971780992102227,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.873,10953,0.97195847013932,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.893,10954,0.972047209157867,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.894,10956,0.97222468719496,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.895,10957,0.972313426213506,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.896,10958,0.972402165232053,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.897,10967,0.973200816398971,BASE_SIMULATION_1,MIN_RAIN_TEMP
0.898,11001,0.97621794302955,BASE_SIMULATION_1,MIN_RAIN_TEMP
