Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,446,0.0395776022717189,BASE_SIMULATION_1,NEW_SNOW_ALB
0.001,833,0.0739196024491969,BASE_SIMULATION_1,NEW_SNOW_ALB
0.002,1125,0.0998313958647617,BASE_SIMULATION_1,NEW_SNOW_ALB
0.003,1359,0.120596326204632,BASE_SIMULATION_1,NEW_SNOW_ALB
0.004,1397,0.123968408909397,BASE_SIMULATION_1,NEW_SNOW_ALB
0.005,1567,0.139054042062295,BASE_SIMULATION_1,NEW_SNOW_ALB
0.006,1985,0.176146951814713,BASE_SIMULATION_1,NEW_SNOW_ALB
0.007,2003,0.177744254148549,BASE_SIMULATION_1,NEW_SNOW_ALB
0.008,2020,0.179252817463839,BASE_SIMULATION_1,NEW_SNOW_ALB
0.009,2026,0.179785251575118,BASE_SIMULATION_1,NEW_SNOW_ALB
0.01,2117,0.187860502262845,BASE_SIMULATION_1,NEW_SNOW_ALB
0.011,2206,0.195758274913479,BASE_SIMULATION_1,NEW_SNOW_ALB
0.012,2220,0.19700062117313,BASE_SIMULATION_1,NEW_SNOW_ALB
0.013,2224,0.197355577247316,BASE_SIMULATION_1,NEW_SNOW_ALB
0.014,2256,0.200195225840802,BASE_SIMULATION_1,NEW_SNOW_ALB
0.015,2296,0.20374478658266,BASE_SIMULATION_1,NEW_SNOW_ALB
0.016,2323,0.206140740083415,BASE_SIMULATION_1,NEW_SNOW_ALB
0.017,2341,0.207738042417251,BASE_SIMULATION_1,NEW_SNOW_ALB
0.018,2342,0.207826781435797,BASE_SIMULATION_1,NEW_SNOW_ALB
0.019,2346,0.208181737509983,BASE_SIMULATION_1,NEW_SNOW_ALB
0.02,2347,0.20827047652853,BASE_SIMULATION_1,NEW_SNOW_ALB
0.021,2369,0.210222734936552,BASE_SIMULATION_1,NEW_SNOW_ALB
0.022,2370,0.210311473955098,BASE_SIMULATION_1,NEW_SNOW_ALB
0.023,2390,0.212086254326027,BASE_SIMULATION_1,NEW_SNOW_ALB
0.024,2676,0.237465613630313,BASE_SIMULATION_1,NEW_SNOW_ALB
0.025,2820,0.250244032301003,BASE_SIMULATION_1,NEW_SNOW_ALB
0.028,2823,0.250510249356642,BASE_SIMULATION_1,NEW_SNOW_ALB
0.029,2826,0.250776466412281,BASE_SIMULATION_1,NEW_SNOW_ALB
0.03,2827,0.250865205430828,BASE_SIMULATION_1,NEW_SNOW_ALB
0.031,2831,0.251220161505014,BASE_SIMULATION_1,NEW_SNOW_ALB
0.032,2838,0.251841334634839,BASE_SIMULATION_1,NEW_SNOW_ALB
0.033,2839,0.251930073653385,BASE_SIMULATION_1,NEW_SNOW_ALB
0.034,2841,0.252107551690478,BASE_SIMULATION_1,NEW_SNOW_ALB
0.035,2842,0.252196290709025,BASE_SIMULATION_1,NEW_SNOW_ALB
0.036,2845,0.252462507764664,BASE_SIMULATION_1,NEW_SNOW_ALB
0.037,2851,0.252994941875943,BASE_SIMULATION_1,NEW_SNOW_ALB
0.038,2854,0.253261158931582,BASE_SIMULATION_1,NEW_SNOW_ALB
0.039,2857,0.253527375987222,BASE_SIMULATION_1,NEW_SNOW_ALB
0.041,2859,0.253704854024315,BASE_SIMULATION_1,NEW_SNOW_ALB
0.045,2860,0.253793593042861,BASE_SIMULATION_1,NEW_SNOW_ALB
0.046,2861,0.253882332061407,BASE_SIMULATION_1,NEW_SNOW_ALB
0.047,2867,0.254414766172686,BASE_SIMULATION_1,NEW_SNOW_ALB
0.048,2869,0.254592244209779,BASE_SIMULATION_1,NEW_SNOW_ALB
0.049,2874,0.255035939302511,BASE_SIMULATION_1,NEW_SNOW_ALB
0.05,2878,0.255390895376697,BASE_SIMULATION_1,NEW_SNOW_ALB
0.051,2906,0.257875587895998,BASE_SIMULATION_1,NEW_SNOW_ALB
0.052,2997,0.265950838583725,BASE_SIMULATION_1,NEW_SNOW_ALB
0.053,3122,0.277043215902032,BASE_SIMULATION_1,NEW_SNOW_ALB
0.054,3181,0.282278817996273,BASE_SIMULATION_1,NEW_SNOW_ALB
0.055,3189,0.282988730144645,BASE_SIMULATION_1,NEW_SNOW_ALB
0.057,3190,0.283077469163191,BASE_SIMULATION_1,NEW_SNOW_ALB
0.06,3191,0.283166208181738,BASE_SIMULATION_1,NEW_SNOW_ALB
0.063,3193,0.28334368621883,BASE_SIMULATION_1,NEW_SNOW_ALB
0.066,3194,0.283432425237377,BASE_SIMULATION_1,NEW_SNOW_ALB
0.068,3195,0.283521164255923,BASE_SIMULATION_1,NEW_SNOW_ALB
0.069,3196,0.28360990327447,BASE_SIMULATION_1,NEW_SNOW_ALB
0.071,3198,0.283787381311563,BASE_SIMULATION_1,NEW_SNOW_ALB
0.072,3201,0.284053598367202,BASE_SIMULATION_1,NEW_SNOW_ALB
0.073,3202,0.284142337385749,BASE_SIMULATION_1,NEW_SNOW_ALB
0.075,3203,0.284231076404295,BASE_SIMULATION_1,NEW_SNOW_ALB
0.076,3204,0.284319815422841,BASE_SIMULATION_1,NEW_SNOW_ALB
0.077,3205,0.284408554441388,BASE_SIMULATION_1,NEW_SNOW_ALB
