Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,11264,0.999556304907268,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0.998,11267,0.999822521962907,BASE_SIMULATION_1,NEW_SNOW_DENSITY
1,11269,1,BASE_SIMULATION_1,NEW_SNOW_DENSITY
0,11376,0.999560671294262,BASE_SIMULATION_2,NEW_SNOW_DENSITY
0.951,11377,0.99964853703541,BASE_SIMULATION_2,NEW_SNOW_DENSITY
0.996,11378,0.999736402776557,BASE_SIMULATION_2,NEW_SNOW_DENSITY
0.999,11380,0.999912134258853,BASE_SIMULATION_2,NEW_SNOW_DENSITY
1,11381,1,BASE_SIMULATION_2,NEW_SNOW_DENSITY
0,10925,0.999816967145603,BASE_SIMULATION_3,NEW_SNOW_DENSITY
0.995,10926,0.999908483572801,BASE_SIMULATION_3,NEW_SNOW_DENSITY
1,10927,1,BASE_SIMULATION_3,NEW_SNOW_DENSITY
0,11648,0.999313658201785,BASE_SIMULATION_4,NEW_SNOW_DENSITY
0.989,11649,0.999399450926562,BASE_SIMULATION_4,NEW_SNOW_DENSITY
0.998,11653,0.999742621825669,BASE_SIMULATION_4,NEW_SNOW_DENSITY
1,11656,1,BASE_SIMULATION_4,NEW_SNOW_DENSITY
0,9722,0.998869824309052,BASE_SIMULATION_5,NEW_SNOW_DENSITY
0.997,9724,0.999075310798315,BASE_SIMULATION_5,NEW_SNOW_DENSITY
0.998,9731,0.999794513510737,BASE_SIMULATION_5,NEW_SNOW_DENSITY
1,9733,1,BASE_SIMULATION_5,NEW_SNOW_DENSITY
0,10613,0.999152701939371,BASE_SIMULATION_6,NEW_SNOW_DENSITY
0.986,10614,0.99924684616833,BASE_SIMULATION_6,NEW_SNOW_DENSITY
0.996,10616,0.999435134626247,BASE_SIMULATION_6,NEW_SNOW_DENSITY
0.997,10618,0.999623423084165,BASE_SIMULATION_6,NEW_SNOW_DENSITY
0.998,10621,0.999905855771041,BASE_SIMULATION_6,NEW_SNOW_DENSITY
1,10622,1,BASE_SIMULATION_6,NEW_SNOW_DENSITY
0,10044,0.999701403404001,BASE_SIMULATION_7,NEW_SNOW_DENSITY
1,10047,1,BASE_SIMULATION_7,NEW_SNOW_DENSITY
0,11478,0.998868679836394,BASE_SIMULATION_8,NEW_SNOW_DENSITY
0.992,11479,0.998955704464363,BASE_SIMULATION_8,NEW_SNOW_DENSITY
0.994,11481,0.999129753720303,BASE_SIMULATION_8,NEW_SNOW_DENSITY
0.995,11485,0.999477852232182,BASE_SIMULATION_8,NEW_SNOW_DENSITY
0.996,11486,0.999564876860151,BASE_SIMULATION_8,NEW_SNOW_DENSITY
