Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,10541,0.935397994498181,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.001,10910,0.968142692341823,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.002,11046,0.980211198864141,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.003,11134,0.988020232496229,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.004,11158,0.990149968941344,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.005,11181,0.992190966367912,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.006,11189,0.992900878516284,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.007,11196,0.993522051646109,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.008,11243,0.997692785517792,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.009,11249,0.998225219629071,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.01,11251,0.998402697666164,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.011,11253,0.998580175703257,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.012,11255,0.99875765374035,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.013,11257,0.998935131777442,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.014,11258,0.999023870795989,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.016,11265,0.999645043925814,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0.03,11266,0.999733782944361,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
1,11269,1,BASE_SIMULATION_1,SNOW_ALB_ACCUM_A
0,10410,0.914682365345752,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.001,11036,0.969686319304103,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.002,11191,0.98330550918197,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.003,11235,0.987171601792461,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.004,11302,0.993058606449345,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.005,11317,0.994376592566558,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.006,11328,0.995343115719181,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.007,11333,0.995782444424919,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.008,11334,0.995870310166066,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.009,11367,0.998769879623935,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.011,11368,0.998857745365082,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.012,11369,0.99894561110623,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.014,11372,0.999209208329672,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.017,11373,0.99929707407082,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.018,11379,0.999824268517705,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.026,11380,0.999912134258853,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0.068,11381,1,BASE_SIMULATION_2,SNOW_ALB_ACCUM_A
0,7872,0.720417314908026,BASE_SIMULATION_3,SNOW_ALB_ACCUM_A
