Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,11172,0.991392315200994,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.001,11196,0.993522051646109,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.002,11198,0.993699529683202,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.003,11199,0.993788268701748,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.009,11200,0.993877007720295,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.01,11205,0.994320702813027,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.011,11211,0.994853136924306,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.014,11213,0.995030614961399,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.016,11214,0.995119353979945,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.019,11215,0.995208092998491,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.021,11217,0.995385571035584,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.025,11218,0.995474310054131,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.026,11219,0.995563049072677,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.028,11220,0.995651788091224,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.033,11221,0.99574052710977,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.034,11222,0.995829266128317,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.041,11223,0.995918005146863,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.045,11224,0.99600674416541,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.052,11225,0.996095483183956,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.06,11226,0.996184222202502,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.062,11227,0.996272961221049,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.069,11228,0.996361700239595,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
0.07,11229,0.996450439258142,BASE_SIMULATION_1,SNOW_ALB_ACCUM_B
