Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,1946,0.172686130091401,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.001,2607,0.231342621350608,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.002,2905,0.257786848877451,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.003,3086,0.27384861123436,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.004,3119,0.276776998846393,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.005,3228,0.286449551867956,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.006,3760,0.33365870973467,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.007,3769,0.334457360901588,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.008,3772,0.334723577957228,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.009,3822,0.339160528884551,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.01,3866,0.343065045700595,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.011,3874,0.343774957848966,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.012,3877,0.344041174904606,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.013,3887,0.34492856509007,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.014,3913,0.347235779572278,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.015,3923,0.348123169757743,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.016,3937,0.349365516017393,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.017,3938,0.349454255035939,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.018,3942,0.349809211110125,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.019,3945,0.350075428165765,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.02,3962,0.351583991481054,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.021,3985,0.353624988907623,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.022,4041,0.358594373946224,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.023,4259,0.377939479989351,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.024,4425,0.392670157068063,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.025,4426,0.392758896086609,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.026,4428,0.392936374123702,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.027,4447,0.394622415476085,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.029,4448,0.394711154494631,BASE_SIMULATION_1,SNOW_ALB_THAW_A
0.03,4450,0.394888632531724,BASE_SIMULATION_1,SNOW_ALB_THAW_A
