Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,10952,0.971869731120774,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.001,10960,0.972579643269145,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.002,10966,0.973112077380424,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.003,10984,0.97470937971426,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.004,10999,0.976040464992457,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.005,11001,0.97621794302955,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.006,11004,0.97648416008519,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.007,11010,0.977016594196468,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.008,11014,0.977371550270654,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.009,11017,0.977637767326293,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.01,11021,0.977992723400479,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.011,11024,0.978258940456119,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.013,11025,0.978347679474665,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.014,11029,0.978702635548851,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.015,11030,0.978791374567397,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.016,11031,0.978880113585944,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.017,11034,0.979146330641583,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.018,11040,0.979678764752862,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.019,11042,0.979856242789955,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.02,11045,0.980122459845594,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.021,11049,0.98047741591978,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.023,11061,0.981542284142337,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.025,11062,0.981631023160884,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.026,11064,0.981808501197977,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.028,11065,0.981897240216523,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.029,11070,0.982340935309255,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.03,11072,0.982518413346348,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.031,11077,0.982962108439081,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.032,11087,0.983849498624545,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.033,11089,0.984026976661638,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.035,11090,0.984115715680185,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.036,11091,0.984204454698731,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.037,11093,0.984381932735824,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.039,11094,0.98447067175437,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.043,11106,0.985535539976928,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.044,11113,0.986156713106753,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.048,11114,0.986245452125299,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.05,11115,0.986334191143846,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.054,11118,0.986600408199485,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.055,11120,0.986777886236578,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.056,11125,0.98722158132931,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.057,11127,0.987399059366403,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.062,11128,0.98748779838495,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.066,11130,0.987665276422043,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.067,11138,0.988375188570414,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.069,11149,0.989351317774425,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.071,11150,0.989440056792972,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.075,11151,0.989528795811518,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.08,11152,0.989617534830065,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.099,11153,0.989706273848611,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.1,11160,0.990327446978436,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.101,11163,0.990593664034076,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.106,11175,0.991658532256633,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.107,11184,0.992457183423551,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.119,11185,0.992545922442098,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.122,11188,0.992812139497737,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.129,11195,0.993433312627562,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.131,11197,0.993610790664655,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.132,11198,0.993699529683202,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.142,11199,0.993788268701748,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.153,11201,0.993965746738841,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.194,11202,0.994054485757388,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.202,11206,0.994409441831573,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.223,11207,0.99449818085012,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.23,11229,0.996450439258142,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.237,11230,0.996539178276688,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.292,11231,0.996627917295235,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.303,11234,0.996894134350874,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.306,11236,0.997071612387967,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.371,11249,0.998225219629071,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.376,11252,0.99849143668471,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.513,11253,0.998580175703257,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.544,11254,0.998668914721803,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0.622,11262,0.999378826870175,BASE_SIMULATION_1,SNOW_ALB_THAW_B
1,11269,1,BASE_SIMULATION_1,SNOW_ALB_THAW_B
0,11162,0.980757402688692,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.001,11219,0.985765749934101,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.002,11225,0.986292944380986,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.003,11228,0.986556541604428,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.004,11229,0.986644407345576,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.005,11234,0.987083736051314,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.006,11241,0.987698796239346,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.007,11245,0.988050259203936,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.008,11247,0.988225990686231,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.009,11253,0.988753185133117,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.01,11257,0.989104648097707,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.011,11258,0.989192513838854,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.012,11264,0.989719708285739,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.013,11265,0.989807574026887,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.014,11267,0.989983305509182,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.015,11268,0.990071171250329,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.016,11275,0.990686231438362,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.017,11276,0.99077409717951,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.018,11277,0.990861962920657,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.019,11284,0.99147702310869,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.02,11288,0.99182848607328,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.021,11290,0.992004217555575,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.022,11291,0.992092083296723,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.023,11296,0.99253141200246,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.024,11300,0.99288287496705,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.025,11301,0.992970740708198,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.026,11303,0.993146472190493,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.028,11304,0.99323433793164,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.029,11316,0.994288726825411,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.03,11317,0.994376592566558,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.031,11319,0.994552324048853,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.034,11320,0.994640189790001,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.037,11331,0.995606712942624,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.039,11332,0.995694578683771,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.044,11333,0.995782444424919,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.045,11344,0.996748967577541,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.046,11345,0.996836833318689,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.053,11346,0.996924699059837,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.058,11348,0.997100430542132,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.059,11358,0.997979087953607,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.07,11359,0.998066953694754,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.072,11363,0.998418416659345,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.078,11364,0.998506282400492,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.082,11365,0.99859414814164,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.093,11374,0.999384939811967,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.103,11377,0.99964853703541,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.107,11378,0.999736402776557,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.116,11379,0.999824268517705,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.161,11380,0.999912134258853,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0.162,11381,1,BASE_SIMULATION_2,SNOW_ALB_THAW_B
0,9621,0.880479546078521,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.001,9894,0.905463530703761,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.002,9906,0.906561727830146,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.003,9915,0.907385375674934,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.004,9921,0.907934474238126,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.005,9924,0.908209023519722,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.006,9932,0.908941154937311,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.007,9940,0.909673286354901,BASE_SIMULATION_3,SNOW_ALB_THAW_B
0.008,9944,0.910039352063695,BASE_SIMULATION_3,SNOW_ALB_THAW_B
