Value,CumulativeFrequency,Cummulative_frequency,simulation_number,parameter_name
0,10671,0.94693406690922,BASE_SIMULATION_1,Z0SNOW
0.001,10690,0.948620108261603,BASE_SIMULATION_1,Z0SNOW
0.002,10778,0.956429141893691,BASE_SIMULATION_1,Z0SNOW
0.003,10790,0.957494010116248,BASE_SIMULATION_1,Z0SNOW
0.004,10800,0.958381400301713,BASE_SIMULATION_1,Z0SNOW
0.005,10810,0.959268790487177,BASE_SIMULATION_1,Z0SNOW
0.006,10821,0.960244919691188,BASE_SIMULATION_1,Z0SNOW
0.007,10832,0.961221048895199,BASE_SIMULATION_1,Z0SNOW
0.008,10837,0.961664743987931,BASE_SIMULATION_1,Z0SNOW
0.009,10847,0.962552134173396,BASE_SIMULATION_1,Z0SNOW
0.01,10852,0.962995829266128,BASE_SIMULATION_1,Z0SNOW
0.011,10873,0.964859348655604,BASE_SIMULATION_1,Z0SNOW
0.012,10881,0.965569260803976,BASE_SIMULATION_1,Z0SNOW
0.013,10884,0.965835477859615,BASE_SIMULATION_1,Z0SNOW
0.014,10904,0.967610258230544,BASE_SIMULATION_1,Z0SNOW
0.015,10907,0.967876475286183,BASE_SIMULATION_1,Z0SNOW
0.016,10909,0.968053953323276,BASE_SIMULATION_1,Z0SNOW
0.017,10913,0.968408909397462,BASE_SIMULATION_1,Z0SNOW
0.018,10924,0.969385038601473,BASE_SIMULATION_1,Z0SNOW
0.019,10928,0.969739994675659,BASE_SIMULATION_1,Z0SNOW
0.02,10939,0.97071612387967,BASE_SIMULATION_1,Z0SNOW
0.021,10944,0.971159818972402,BASE_SIMULATION_1,Z0SNOW
0.022,10950,0.971692253083681,BASE_SIMULATION_1,Z0SNOW
0.023,10953,0.97195847013932,BASE_SIMULATION_1,Z0SNOW
0.026,10965,0.973023338361878,BASE_SIMULATION_1,Z0SNOW
0.027,10976,0.973999467565889,BASE_SIMULATION_1,Z0SNOW
0.029,10977,0.974088206584435,BASE_SIMULATION_1,Z0SNOW
