NEW_SNOW_ALB,SNOW_ALB_ACCUM_A,SNOW_ALB_ACCUM_B,SNOW_ALB_THAW_A,SNOW_ALB_THAW_B,NEW_SNOW_DENSITY,LIQUID_WATER_CAPACITY,LAI_ADJUSTMENT,MIN_RAIN_TEMP,Z0SNOW,MAX_SNOW_TEMP
0.818,0.923,0.593,0.944,0.456,51.335,0.08989,0.88,-0.727,0.039,2.273
0.852,0.901,0.465,0.977,0.373,88.536,0.04545,0.462,-0.224,0.009,2.776
0.972,0.906,0.656,0.695,0.464,45.156,0.11817,0.412,-2.648,0.031,0.352
0.851,0.884,0.583,0.919,0.537,119.839,0.02626,1.153,-1.697,0.026,1.303
0.731,0.954,0.479,0.749,0.437,131.492,0.11514,1.11,-1.651,0.034,1.349
0.726,0.963,0.655,0.751,0.537,125.533,0.02323,0.496,-1.674,0.031,1.326
0.727,0.943,0.63,0.795,0.47,66.853,0.13938,0.875,-1.035,0.032,1.965
0.85,0.955,0.58,0.92,0.416,146.617,0.09595,0.252,-1.858,0.002,1.142
0.918,0.93,0.472,0.949,0.414,26.574,0.12221,0.788,-0.971,0.002,2.029
0.805,0.904,0.537,0.905,0.44,137.427,0.0505,0.186,-1.466,0.047,1.534
0.983,0.94,0.628,0.876,0.388,119.428,0.14645,0.718,-0.012,0.028,2.988
0.983,0.978,0.539,0.725,0.465,102.571,0.13938,0.744,-2.864,0.011,0.136
0.854,0.906,0.656,0.839,0.539,74.162,0.03737,1.017,-0.747,0.035,2.253
0.903,0.931,0.54,0.694,0.483,95.978,0.11413,1.112,-1.774,0.003,1.226
0.701,0.942,0.49,0.807,0.381,37.915,0.14342,0.868,-1.803,0.029,1.197
0.887,0.897,0.668,0.914,0.405,27.776,0.0808,0.799,-0.958,0.028,2.042
0.788,0.989,0.493,0.711,0.546,136.194,0.09595,0.932,-2.708,0.015,0.292
0.718,0.91,0.588,0.687,0.461,146.013,0.03232,0.155,-1.979,0.042,1.021
0.814,0.908,0.475,0.841,0.448,81.237,0.08484,0.109,-2.468,0.049,0.532
0.959,0.904,0.645,0.717,0.421,95.744,0.13029,0.486,-1.248,0.037,1.752
0.794,0.981,0.466,0.671,0.467,42.639,0.04141,0.946,-2.865,0.004,0.135
0.721,0.962,0.664,0.863,0.471,84.19,0.14039,0.418,-2.817,0.037,0.183
0.736,0.952,0.598,0.834,0.474,42.085,0.09595,0.3,-0.069,0.039,2.931
0.784,0.981,0.544,0.781,0.467,86.126,0.04141,0.247,-1.422,0.013,1.578
0.805,0.944,0.565,0.939,0.424,140.555,0.10504,0.147,-0.037,0.006,2.963
0.921,0.918,0.587,0.804,0.52,139.42,0.03232,0.635,-1.352,0.018,1.648
0.886,0.972,0.583,0.703,0.438,129.425,0.14342,0.754,-1.889,0.027,1.111
0.889,0.917,0.699,0.741,0.418,51.036,0.04949,0.279,-1.298,0.006,1.702
0.91,0.984,0.657,0.701,0.515,72.718,0.07171,0.8,-0.968,0.045,2.032
0.816,0.904,0.521,0.694,0.394,138.848,0.11312,0.798,-1.48,0.047,1.52
0.978,0.92,0.512,0.923,0.372,149.262,0.09191,1.024,-1.137,0.04,1.863
0.973,0.903,0.652,0.899,0.396,49.19,0.06666,1.063,-0.212,0.027,2.788
0.962,0.912,0.551,0.785,0.418,134.462,0.0909,0.684,-2.632,0.037,0.368
