NEW_SNOW_ALB,SNOW_ALB_ACCUM_A,SNOW_ALB_ACCUM_B,SNOW_ALB_THAW_A,SNOW_ALB_THAW_B,NEW_SNOW_DENSITY,LIQUID_WATER_CAPACITY,LAI_ADJUSTMENT,MIN_RAIN_TEMP,Z0SNOW,MAX_SNOW_TEMP
0.818,0.923,0.593,0.944,0.456,51.335,0.089,0.88,-0.727,0.039,2.29573
0.852,0.901,0.465,0.977,0.373,88.536,0.045,0.462,-0.224,0.009,2.80376
0.972,0.906,0.656,0.695,0.464,45.156,0.117,0.412,-2.648,0.031,0.35552
0.851,0.884,0.583,0.919,0.537,119.839,0.026,1.153,-1.697,0.026,1.31603
0.731,0.954,0.479,0.749,0.437,131.492,0.114,1.11,-1.651,0.034,1.36249
0.726,0.963,0.655,0.751,0.537,125.533,0.023,0.496,-1.674,0.031,1.33926
0.727,0.943,0.63,0.795,0.47,66.853,0.138,0.875,-1.035,0.032,1.98465
0.85,0.955,0.58,0.92,0.416,146.617,0.095,0.252,-1.858,0.002,1.15342
0.918,0.93,0.472,0.949,0.414,26.574,0.121,0.788,-0.971,0.002,2.04929
0.805,0.904,0.537,0.905,0.44,137.427,0.05,0.186,-1.466,0.047,1.54934
0.983,0.94,0.628,0.876,0.388,119.428,0.145,0.718,-0.012,0.028,3.01788
0.983,0.978,0.539,0.725,0.465,102.571,0.138,0.744,-2.864,0.011,0.13736
0.854,0.906,0.656,0.839,0.539,74.162,0.037,1.017,-0.747,0.035,2.27553
0.903,0.931,0.54,0.694,0.483,95.978,0.113,1.112,-1.774,0.003,1.23826
0.701,0.942,0.49,0.807,0.381,37.915,0.142,0.868,-1.803,0.029,1.20897
0.887,0.897,0.668,0.914,0.405,27.776,0.08,0.799,-0.958,0.028,2.06242
0.788,0.989,0.493,0.711,0.546,136.194,0.095,0.932,-2.708,0.015,0.29492
0.718,0.91,0.588,0.687,0.461,146.013,0.032,0.155,-1.979,0.042,1.03121
0.814,0.908,0.475,0.841,0.448,81.237,0.084,0.109,-2.468,0.049,0.53732
0.959,0.904,0.645,0.717,0.421,95.744,0.129,0.486,-1.248,0.037,1.76952
0.794,0.981,0.466,0.671,0.467,42.639,0.041,0.946,-2.865,0.004,0.13635
0.721,0.962,0.664,0.863,0.471,84.19,0.139,0.418,-2.817,0.037,0.18483
0.736,0.952,0.598,0.834,0.474,42.085,0.095,0.3,-0.069,0.039,2.96031
0.784,0.981,0.544,0.781,0.467,86.126,0.041,0.247,-1.422,0.013,1.59378
0.805,0.944,0.565,0.939,0.424,140.555,0.104,0.147,-0.037,0.006,2.99263
0.921,0.918,0.587,0.804,0.52,139.42,0.032,0.635,-1.352,0.018,1.66448
0.886,0.972,0.583,0.703,0.438,129.425,0.142,0.754,-1.889,0.027,1.12211
0.889,0.917,0.699,0.741,0.418,51.036,0.049,0.279,-1.298,0.006,1.71902
0.91,0.984,0.657,0.701,0.515,72.718,0.071,0.8,-0.968,0.045,2.05232
0.816,0.904,0.521,0.694,0.394,138.848,0.112,0.798,-1.48,0.047,1.5352
0.978,0.92,0.512,0.923,0.372,149.262,0.091,1.024,-1.137,0.04,1.88163
0.973,0.903,0.652,0.899,0.396,49.19,0.066,1.063,-0.212,0.027,2.81588
0.962,0.912,0.551,0.785,0.418,134.462,0.09,0.684,-2.632,0.037,0.37168
0.747,0.884,0.598,0.959,0.51,128.263,0.104,0.953,-2.499,0.043,0.50601
0.759,0.972,0.594,0.882,0.399,96.201,0.09,0.163,-1.947,0.032,1.06353
0.952,0.908,0.576,0.756,0.425,130.646,0.094,0.464,-0.681,0.019,2.34219
0.902,0.941,0.585,0.86,0.401,101.252,0.035,0.103,-0.209,0.027,2.81891
0.885,0.989,0.551,0.712,0.406,89.07,0.105,0.219,-1.93,0.018,1.0807
0.717,0.97,0.541,0.952,0.514,117.878,0.04,0.804,-2.542,0.012,0.46258
0.789,0.986,0.605,0.912,0.455,97.648,0.101,0.874,-2.078,0.044,0.93122
0.946,0.986,0.674,0.698,0.535,140.824,0.096,0.379,-1.154,0.017,1.86446
0.902,0.966,0.628,0.803,0.508,97.209,0.024,0.275,-0.258,0.026,2.76942
0.716,0.89,0.519,0.883,0.536,88.29,0.085,0.643,-0.335,0.001,2.69165
0.957,0.902,0.601,0.967,0.393,121.203,0.147,0.511,-1.102,0.028,1.91698
0.825,0.924,0.636,0.854,0.387,70.592,0.133,0.984,-0.893,0.017,2.12807
0.732,0.985,0.67,0.796,0.492,129.139,0.122,0.708,-2.068,0.031,0.94132
0.768,0.919,0.681,0.919,0.509,69.565,0.097,0.265,-1.557,0.029,1.45743
0.861,0.895,0.579,0.966,0.379,63.63,0.117,0.468,-1.503,0.047,1.51197
0.846,0.906,0.635,0.738,0.457,63.223,0.051,1.106,-2.756,0.036,0.24644
0.826,0.906,0.688,0.745,0.401,48.94,0.031,0.24,-0.18,0.016,2.8482
0.721,0.907,0.466,0.669,0.501,33.821,0.041,0.493,-0.143,0.024,2.88557
0.727,0.955,0.583,0.666,0.478,55.716,0.094,0.165,-1.011,0.013,2.00889
0.7,0.914,0.558,0.71,0.402,49.073,0.103,0.557,-0.06,0.001,2.9694
0.92,0.896,0.688,0.855,0.405,76.021,0.09,0.698,-0.938,0.005,2.08262
0.877,0.913,0.522,0.685,0.523,147.435,0.119,0.515,-2.767,0.002,0.23533
0.97,0.951,0.548,0.957,0.505,25.875,0.062,0.531,-1.3,0.032,1.717
0.758,0.919,0.483,0.808,0.539,54.094,0.056,0.806,-2.067,0.007,0.94233
