Latitude,Longitude,Cluster_ID
41.34375,-116.03125,0
41.34375,-116.28125,1
41.40625,-116.03125,0
41.40625,-116.28125,0
41.40625,-116.40625,0
41.46875,-114.90625,0
41.46875,-114.96875,0
41.46875,-116.03125,1
41.46875,-116.46875,0
41.53125,-114.96875,0
41.53125,-115.03125,1
41.53125,-115.40625,0
41.53125,-116.03125,1
41.53125,-116.09375,1
41.59375,-114.65625,0
41.59375,-115.03125,0
41.59375,-115.09375,0
41.59375,-115.46875,0
41.59375,-115.59375,1
41.59375,-116.15625,1
41.65625,-114.65625,0
41.65625,-114.96875,1
41.65625,-115.03125,1
41.65625,-115.46875,1
41.65625,-115.59375,1
41.65625,-115.96875,1
41.65625,-116.03125,0
41.65625,-116.09375,1
41.65625,-116.15625,0
41.71875,-115.21875,1
41.71875,-115.28125,0
41.71875,-115.46875,0
41.71875,-115.53125,0
41.71875,-115.96875,0
41.71875,-116.03125,3
41.71875,-116.09375,1
41.71875,-116.15625,1
41.78125,-115.21875,0
41.78125,-115.28125,1
41.78125,-115.34375,1
41.78125,-115.40625,1
41.78125,-115.46875,0
41.78125,-115.53125,1
41.78125,-115.59375,1
41.78125,-115.71875,1
41.78125,-116.03125,1
41.78125,-116.09375,3
41.78125,-116.15625,1
41.84375,-113.71875,0
41.84375,-114.46875,1
41.84375,-115.09375,1
41.84375,-115.15625,1
41.84375,-115.21875,0
41.84375,-115.28125,0
41.84375,-115.34375,1
41.84375,-115.40625,1
41.84375,-115.46875,1
41.84375,-115.53125,1
41.84375,-115.78125,1
41.84375,-115.84375,1
41.84375,-116.03125,0
41.84375,-116.09375,1
41.90625,-113.53125,1
41.90625,-113.59375,1
41.90625,-113.71875,1
41.90625,-113.78125,0
41.90625,-113.84375,1
41.90625,-114.46875,1
41.90625,-115.03125,1
41.90625,-115.09375,0
41.90625,-115.15625,1
41.90625,-115.21875,0
41.90625,-115.28125,0
41.90625,-115.34375,1
41.90625,-115.40625,1
41.90625,-115.46875,1
41.90625,-115.53125,1
41.90625,-115.59375,1
41.90625,-115.84375,1
41.90625,-115.90625,1
41.90625,-115.96875,1
41.90625,-116.03125,0
41.96875,-113.34375,1
41.96875,-113.40625,1
41.96875,-114.96875,0
41.96875,-115.03125,1
41.96875,-115.09375,1
41.96875,-115.15625,1
41.96875,-115.84375,1
41.96875,-115.90625,1
41.96875,-115.96875,1
41.96875,-116.03125,1
41.96875,-123.28125,2
41.96875,-123.59375,2
41.96875,-123.65625,2
42.03125,-113.71875,1
42.03125,-113.78125,0
42.03125,-114.15625,1
42.03125,-114.21875,1
42.03125,-114.28125,0
42.03125,-114.90625,0
42.03125,-114.96875,0
42.03125,-115.03125,0
42.03125,-115.90625,1
42.03125,-115.96875,1
42.03125,-116.03125,1
42.03125,-120.09375,3
42.03125,-120.15625,3
42.03125,-122.90625,2
42.03125,-122.96875,2
42.03125,-123.28125,2
42.03125,-123.34375,2
42.03125,-123.40625,2
42.03125,-123.46875,2
42.03125,-123.53125,2
42.09375,-113.71875,1
42.09375,-113.78125,1
42.09375,-114.15625,3
42.09375,-114.21875,1
42.09375,-114.28125,1
42.09375,-114.34375,0
42.09375,-116.03125,1
42.09375,-117.46875,0
42.09375,-117.53125,0
42.09375,-118.15625,0
42.09375,-118.28125,0
42.09375,-120.21875,1
42.09375,-122.71875,2
42.09375,-122.78125,2
42.09375,-122.84375,2
42.09375,-122.90625,2
42.09375,-123.28125,2
42.09375,-123.34375,2
42.09375,-123.40625,2
42.15625,-113.53125,1
42.15625,-113.65625,1
42.15625,-113.71875,3
42.15625,-114.09375,1
42.15625,-114.15625,1
42.15625,-114.21875,1
42.15625,-114.28125,3
42.15625,-114.34375,1
42.15625,-117.53125,0
42.15625,-117.59375,0
42.15625,-118.03125,0
42.15625,-118.09375,0
42.15625,-120.21875,1
42.15625,-123.40625,2
42.21875,-113.65625,3
42.21875,-113.71875,3
42.21875,-114.09375,3
42.21875,-114.15625,1
42.21875,-114.21875,2
42.21875,-114.28125,2
42.21875,-114.34375,1
42.21875,-118.03125,0
42.21875,-122.53125,3
42.21875,-123.40625,2
42.21875,-123.78125,2
42.28125,-113.03125,0
42.28125,-113.59375,0
42.28125,-113.65625,3
42.28125,-113.71875,3
42.28125,-114.15625,0
42.28125,-120.09375,1
42.28125,-120.15625,1
42.28125,-120.21875,1
42.28125,-120.28125,1
42.28125,-122.28125,2
42.28125,-122.34375,1
42.28125,-122.46875,3
42.28125,-122.53125,2
42.28125,-122.59375,3
42.28125,-122.65625,2
42.34375,-113.59375,3
42.34375,-113.65625,3
42.34375,-120.15625,1
42.34375,-120.21875,1
42.34375,-122.28125,2
42.34375,-122.34375,2
42.34375,-122.40625,3
42.34375,-122.46875,3
42.40625,-113.03125,3
42.40625,-119.78125,1
